date,goods_inflation
2019-03-07,122.7
2019-03-08,122.7
2019-03-09,122.7
2019-03-10,122.7
2019-03-11,122.7
2019-03-12,122.7
2019-03-13,122.7
2019-03-14,122.7
2019-03-15,122.7
2019-03-16,122.7
2019-03-17,122.7
2019-03-18,122.7
2019-03-19,122.7
2019-03-20,122.7
2019-03-21,122.7
2019-03-22,122.7
2019-03-23,122.7
2019-03-24,122.7
2019-03-25,122.7
2019-03-26,122.7
2019-03-27,122.7
2019-03-28,122.7
2019-03-29,122.7
2019-03-30,122.7
2019-03-31,122.7
2019-04-01,123.7
2019-04-02,123.7
2019-04-03,123.7
2019-04-04,123.7
2019-04-05,123.7
2019-04-06,123.7
2019-04-07,123.7
2019-04-08,123.7
2019-04-09,123.7
2019-04-10,123.7
2019-04-11,123.7
2019-04-12,123.7
2019-04-13,123.7
2019-04-14,123.7
2019-04-15,123.7
2019-04-16,123.7
2019-04-17,123.7
2019-04-18,123.7
2019-04-19,123.7
2019-04-20,123.7
2019-04-21,123.7
2019-04-22,123.7
2019-04-23,123.7
2019-04-24,123.7
2019-04-25,123.7
2019-04-26,123.7
2019-04-27,123.7
2019-04-28,123.7
2019-04-29,123.7
2019-04-30,123.7
2019-05-01,123.9
2019-05-02,123.9
2019-05-03,123.9
2019-05-04,123.9
2019-05-05,123.9
2019-05-06,123.9
2019-05-07,123.9
2019-05-08,123.9
2019-05-09,123.9
2019-05-10,123.9
2019-05-11,123.9
2019-05-12,123.9
2019-05-13,123.9
2019-05-14,123.9
2019-05-15,123.9
2019-05-16,123.9
2019-05-17,123.9
2019-05-18,123.9
2019-05-19,123.9
2019-05-20,123.9
2019-05-21,123.9
2019-05-22,123.9
2019-05-23,123.9
2019-05-24,123.9
2019-05-25,123.9
2019-05-26,123.9
2019-05-27,123.9
2019-05-28,123.9
2019-05-29,123.9
2019-05-30,123.9
2019-05-31,123.9
2019-06-01,122.8
2019-06-02,122.8
2019-06-03,122.8
2019-06-04,122.8
2019-06-05,122.8
2019-06-06,122.8
2019-06-07,122.8
2019-06-08,122.8
2019-06-09,122.8
2019-06-10,122.8
2019-06-11,122.8
2019-06-12,122.8
2019-06-13,122.8
2019-06-14,122.8
2019-06-15,122.8
2019-06-16,122.8
2019-06-17,122.8
2019-06-18,122.8
2019-06-19,122.8
2019-06-20,122.8
2019-06-21,122.8
2019-06-22,122.8
2019-06-23,122.8
2019-06-24,122.8
2019-06-25,122.8
2019-06-26,122.8
2019-06-27,122.8
2019-06-28,122.8
2019-06-29,122.8
2019-06-30,122.8
2019-07-01,123.2
2019-07-02,123.2
2019-07-03,123.2
2019-07-04,123.2
2019-07-05,123.2
2019-07-06,123.2
2019-07-07,123.2
2019-07-08,123.2
2019-07-09,123.2
2019-07-10,123.2
2019-07-11,123.2
2019-07-12,123.2
2019-07-13,123.2
2019-07-14,123.2
2019-07-15,123.2
2019-07-16,123.2
2019-07-17,123.2
2019-07-18,123.2
